time: 20	 sensorID: 1	 sendTo: 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 2 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 2 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 14 - 2 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 2 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 2 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 8 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 8 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 8 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 8 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 8 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 9 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 9 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 9 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 9 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 9 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 11 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 11 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 11 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 11 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 11 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 14 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 15 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 15 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 15 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 15 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 15 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 16 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 16 - 13 - 20
